quote,author,tags,likes
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/misattributed-marilyn-monroe"">misattributed-marilyn-monroe</a>
</div>",59436
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/actions"">actions</a>,
       <a href=""/quotes/tag/disappointed"">disappointed</a>,
       <a href=""/quotes/tag/disappointment"">disappointment</a>,
       <a href=""/quotes/tag/dream"">dream</a>,
       <a href=""/quotes/tag/dreams"">dreams</a>,
       <a href=""/quotes/tag/explore"">explore</a>,
       <a href=""/quotes/tag/misattributed-mark-twain"">misattributed-mark-twain</a>,
       <a href=""/quotes/tag/sail"">sail</a>
</div>",56453
It is better to be hated for what you are than to be loved for what you are not.,Andre Gide,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/love"">love</a>
</div>",54926
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/love"">love</a>
</div>",54515
"All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.",J.R.R. Tolkien,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/frost"">frost</a>,
       <a href=""/quotes/tag/glitter"">glitter</a>,
       <a href=""/quotes/tag/gold"">gold</a>,
       <a href=""/quotes/tag/lost"">lost</a>,
       <a href=""/quotes/tag/poetry"">poetry</a>,
       <a href=""/quotes/tag/roots"">roots</a>,
       <a href=""/quotes/tag/strength"">strength</a>,
       <a href=""/quotes/tag/strong"">strong</a>,
       <a href=""/quotes/tag/wander"">wander</a>,
       <a href=""/quotes/tag/wither"">wither</a>
</div>",51912
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/abilities"">abilities</a>,
       <a href=""/quotes/tag/choices"">choices</a>
</div>",49204
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/be-yourself"">be-yourself</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>
</div>",47794
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/aliteracy"">aliteracy</a>,
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/classic"">classic</a>,
       <a href=""/quotes/tag/humor"">humor</a>
</div>",47755
It does not do to dwell on dreams and forget to live.,J.K. Rowling,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/dreams"">dreams</a>,
       <a href=""/quotes/tag/life"">life</a>
</div>",47190
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/live"">live</a>,
       <a href=""/quotes/tag/miracle"">miracle</a>,
       <a href=""/quotes/tag/miracles"">miracles</a>
</div>",46908
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/love"">love</a>
</div>",44904
